Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,City,Sport,Event,Medal
"John Alcorn ""James"" Rector",M,23.0,181.0,72.0,United States,USA,1908 Summer,1908,London,Athletics,Athletics Men\'s 100 metres,Silver
Lindy John Remigino,M,21.0,173.0,67.0,United States,USA,1952 Summer,1952,Helsinki,Athletics,Athletics Men\'s 100 metres,Gold
"Stanley Rupert ""Stan"" Rowley",M,23.0,178.0,71.0,Australia,AUS,1900 Summer,1900,Paris,Athletics,Athletics Men\'s 100 metres,Bronze
Jackson Volney Scholz,M,27.0,172.0,61.0,United States,USA,1924 Summer,1924,Paris,Athletics,Athletics Men\'s 100 metres,Silver
"David William ""Dave"" Sime",M,24.0,189.0,81.0,United States,USA,1960 Summer,1960,Roma,Athletics,Athletics Men\'s 100 metres,Silver
Calvin Smith,M,27.0,178.0,69.0,United States,USA,1988 Summer,1988,Seoul,Athletics,Athletics Men\'s 100 metres,Bronze
Robert James Taylor,M,23.0,183.0,80.0,United States,USA,1972 Summer,1972,Munich,Athletics,Athletics Men\'s 100 metres,Silver
Walter Beardsley Tewksbury,M,24.0,183.0,64.0,United States,USA,1900 Summer,1900,Paris,Athletics,Athletics Men\'s 100 metres,Silver
Obadele Olutosin Thompson,M,24.0,182.0,78.0,Barbados,BAR,2000 Summer,2000,Sydney,Athletics,Athletics Men\'s 100 metres,Bronze
Richard Thompson,M,23.0,188.0,80.0,Trinidad and Tobago,TTO,2008 Summer,2008,Beijing,Athletics,Athletics Men\'s 100 metres,Silver
"Thomas Edward ""Eddie"" Tolan, Jr.",M,23.0,170.0,65.0,United States,USA,1932 Summer,1932,Los Angeles,Athletics,Athletics Men\'s 100 metres,Gold
"Reginald Edgar ""Reggie"" Walker",M,19.0,170.0,61.0,South Africa,RSA,1908 Summer,1908,London,Athletics,Athletics Men\'s 100 metres,Gold
Allan Wipper Wells,M,28.0,183.0,86.0,Great Britain,GBR,1980 Summer,1980,Moskva,Athletics,Athletics Men\'s 100 metres,Gold
Percy Alfred Williams,M,19.0,170.0,56.0,Canada,CAN,1928 Summer,1928,Amsterdam,Athletics,Athletics Men\'s 100 metres,Gold
