Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,City,Sport,Event,Medal
Berhane Adere Debala,F,27.0,170.0,50.0,Ethiopia,ETH,2000 Summer,2000,Sydney,Athletics,"10,000 metres",
Berhane Adere Debala,F,35.0,170.0,50.0,Ethiopia,ETH,2008 Summer,2008,Beijing,Athletics,Marathon,
"Nicholas Mark ""Nick"" A'Hern",M,23.0,169.0,61.0,Australia,AUS,1992 Summer,1992,Barcelona,Athletics,20 kilometres Walk,
"Nicholas Mark ""Nick"" A'Hern",M,27.0,169.0,61.0,Australia,AUS,1996 Summer,1996,Atlanta,Athletics,20 kilometres Walk,
"Nicholas Mark ""Nick"" A'Hern",M,31.0,169.0,61.0,Australia,AUS,2000 Summer,2000,Sydney,Athletics,20 kilometres Walk,
Zemzem Ahmed Deko,F,23.0,170.0,53.0,Ethiopia,ETH,2008 Summer,2008,Beijing,Athletics,"3,000 metres Steeplechase",
Yenew Alamirew Getahun,M,22.0,178.0,57.0,Ethiopia,ETH,2012 Summer,2012,London,Athletics,"5,000 metres",
Moges Alemayehu,M,31.0,166.0,53.0,Ethiopia,ETH,1980 Summer,1980,Moskva,Athletics,Marathon,
Simretu Alemayehu,M,29.0,182.0,68.0,Ethiopia,ETH,2000 Summer,2000,Sydney,Athletics,Marathon,
Berhanu Alemu,M,18.0,179.0,63.0,Ethiopia,ETH,2000 Summer,2000,Sydney,Athletics,"1,500 metres",
Berhanu Alemu,M,22.0,179.0,63.0,Ethiopia,ETH,2004 Summer,2004,Athina,Athletics,800 metres,
Dagne Alemu,M,19.0,171.0,58.0,Ethiopia,ETH,2000 Summer,2000,Sydney,Athletics,"5,000 metres",
Elfenesh Alemu,F,25.0,165.0,51.0,Ethiopia,ETH,2000 Summer,2000,Sydney,Athletics,Marathon,
Elfenesh Alemu,F,29.0,165.0,51.0,Ethiopia,ETH,2004 Summer,2004,Athina,Athletics,Marathon,
Habitam Alemu,F,19.0,171.0,52.0,Ethiopia,ETH,2016 Summer,2016,Rio de Janeiro,Athletics,800 metres,
Fiona Michelle Alessandri (-Wildy),F,20.0,175.0,61.0,Australia,AUS,1988 Summer,1988,Seoul,Swimming,100 metres Butterfly,
Fiona Michelle Alessandri (-Wildy),F,20.0,175.0,61.0,Australia,AUS,1988 Summer,1988,Seoul,Swimming,4 x 100 metres Medley Relay,
Malcolm Allen,M,23.0,185.0,74.0,Australia,AUS,1996 Summer,1996,Atlanta,Swimming,400 metres Freestyle,
Malcolm Allen,M,23.0,185.0,74.0,Australia,AUS,1996 Summer,1996,Atlanta,Swimming,4 x 200 metres Freestyle Relay,
"Edward James ""Ted"" Allsopp",M,30.0,179.0,80.0,Australia,AUS,1956 Summer,1956,Melbourne,Athletics,20 kilometres Walk,
"Edward James ""Ted"" Allsopp",M,30.0,179.0,80.0,Australia,AUS,1956 Summer,1956,Melbourne,Athletics,50 kilometres Walk,
"Edward James ""Ted"" Allsopp",M,38.0,179.0,80.0,Australia,AUS,1964 Summer,1964,Tokyo,Athletics,50 kilometres Walk,
Uzodinma Anthony Alozie,M,25.0,171.0,79.0,Australia,AUS,2012 Summer,2012,London,Athletics,4 x 100 metres Relay,
Mohammed Aman Geleto,M,18.0,165.0,58.0,Ethiopia,ETH,2012 Summer,2012,London,Athletics,800 metres,
Mohammed Aman Geleto,M,22.0,165.0,58.0,Ethiopia,ETH,2016 Summer,2016,Rio de Janeiro,Athletics,800 metres,
Hailemariyam Amare Tegen,M,19.0,175.0,64.0,Ethiopia,ETH,2016 Summer,2016,Rio de Janeiro,Athletics,"3,000 metres Steeplechase",
"Judith Florence ""Judy"" Amoore-Pollock",F,24.0,163.0,55.0,Australia,AUS,1964 Summer,1964,Tokyo,Athletics,400 metres,Bronze
"Judith Florence ""Judy"" Amoore-Pollock",F,36.0,163.0,55.0,Australia,AUS,1976 Summer,1976,Montreal,Athletics,800 metres,
"Judith Florence ""Judy"" Amoore-Pollock",F,36.0,163.0,55.0,Australia,AUS,1976 Summer,1976,Montreal,Athletics,"1,500 metres",
"Christopher Daniel ""Chris"" Anderson",M,28.0,189.0,74.0,Australia,AUS,1996 Summer,1996,Atlanta,Athletics,High Jump,
David Lennon James Anderson,M,26.0,194.0,80.0,Australia,AUS,1992 Summer,1992,Barcelona,Athletics,High Jump,
Kate Suzanne Anderson-Richardson,F,22.0,168.0,51.0,Australia,AUS,1996 Summer,1996,Atlanta,Athletics,"5,000 metres",
Kate Suzanne Anderson-Richardson,F,26.0,168.0,51.0,Australia,AUS,2000 Summer,2000,Sydney,Athletics,"5,000 metres",
"Janice ""Jan"" Andrew (-Thornett)",F,16.0,162.0,54.0,Australia,AUS,1960 Summer,1960,Roma,Swimming,100 metres Butterfly,Bronze
"Janice ""Jan"" Andrew (-Thornett)",F,16.0,162.0,54.0,Australia,AUS,1960 Summer,1960,Roma,Swimming,4 x 100 metres Medley Relay,Silver
"Susan Elizabeth ""Sue"" Andrews",F,21.0,173.0,62.0,Australia,AUS,1992 Summer,1992,Barcelona,Athletics,4 x 400 metres Relay,
"Susan Elizabeth ""Sue"" Andrews",F,29.0,173.0,62.0,Australia,AUS,2000 Summer,2000,Sydney,Athletics,800 metres,
"Susan Elizabeth ""Sue"" Andrews",F,29.0,173.0,62.0,Australia,AUS,2000 Summer,2000,Sydney,Athletics,4 x 400 metres Relay,
Justin John Anlezark,M,23.0,188.0,127.0,Australia,AUS,2000 Summer,2000,Sydney,Athletics,Shot Put,
Justin John Anlezark,M,26.0,188.0,127.0,Australia,AUS,2004 Summer,2004,Athina,Athletics,Shot Put,
Justin John Anlezark,M,30.0,188.0,127.0,Australia,AUS,2008 Summer,2008,Beijing,Athletics,Shot Put,
"Christine Frances ""Chris"" Annison-Stanton",F,20.0,183.0,67.0,Australia,AUS,1980 Summer,1980,Moskva,Athletics,High Jump,
"Christine Frances ""Chris"" Annison-Stanton",F,24.0,183.0,67.0,Australia,AUS,1984 Summer,1984,Los Angeles,Athletics,High Jump,
"Christine Frances ""Chris"" Annison-Stanton",F,28.0,183.0,67.0,Australia,AUS,1988 Summer,1988,Seoul,Athletics,High Jump,
Abeba Aregawi Gebretsadik,F,22.0,170.0,52.0,Ethiopia,ETH,2012 Summer,2012,London,Athletics,"1,500 metres",
Simon Graham Arkell,M,26.0,185.0,78.0,Australia,AUS,1992 Summer,1992,Barcelona,Athletics,Pole Vault,
Simon Graham Arkell,M,30.0,185.0,78.0,Australia,AUS,1996 Summer,1996,Atlanta,Athletics,Pole Vault,
Duncan John D'Arcy Armstrong,M,20.0,187.0,74.0,Australia,AUS,1988 Summer,1988,Seoul,Swimming,200 metres Freestyle,Gold
Duncan John D'Arcy Armstrong,M,20.0,187.0,74.0,Australia,AUS,1988 Summer,1988,Seoul,Swimming,400 metres Freestyle,Silver
Duncan John D'Arcy Armstrong,M,20.0,187.0,74.0,Australia,AUS,1988 Summer,1988,Seoul,Swimming,4 x 200 metres Freestyle Relay,
Duncan John D'Arcy Armstrong,M,24.0,187.0,74.0,Australia,AUS,1992 Summer,1992,Barcelona,Swimming,4 x 200 metres Freestyle Relay,
Daniel Arnamnart,M,22.0,178.0,80.0,Australia,AUS,2012 Summer,2012,London,Swimming,100 metres Backstroke,
Gashaw Asfaw Melese,M,29.0,168.0,51.0,Ethiopia,ETH,2008 Summer,2008,Beijing,Athletics,Marathon,
Jessica Ashwood,F,19.0,173.0,64.0,Australia,AUS,2012 Summer,2012,London,Swimming,800 metres Freestyle,
Jessica Ashwood,F,23.0,173.0,64.0,Australia,AUS,2016 Summer,2016,Rio de Janeiro,Swimming,400 metres Freestyle,
Jessica Ashwood,F,23.0,173.0,64.0,Australia,AUS,2016 Summer,2016,Rio de Janeiro,Swimming,800 metres Freestyle,
Jessica Ashwood,F,23.0,173.0,64.0,Australia,AUS,2016 Summer,2016,Rio de Janeiro,Swimming,4 x 200 metres Freestyle Relay,Silver
Abraham Assefa,M,23.0,165.0,51.0,Ethiopia,ETH,1996 Summer,1996,Atlanta,Athletics,"10,000 metres",
Meskerem Assefa Legesse (Wondimagegn),F,22.0,161.0,43.0,Ethiopia,ETH,2008 Summer,2008,Beijing,Athletics,"1,500 metres",
Meskerem Assefa Legesse (Wondimagegn),F,26.0,161.0,43.0,Ethiopia,ETH,2012 Summer,2012,London,Athletics,"1,500 metres",
Sofia Assefa Abebe,F,20.0,167.0,52.0,Ethiopia,ETH,2008 Summer,2008,Beijing,Athletics,"3,000 metres Steeplechase",
Sofia Assefa Abebe,F,24.0,167.0,52.0,Ethiopia,ETH,2012 Summer,2012,London,Athletics,"3,000 metres Steeplechase",Bronze
Sofia Assefa Abebe,F,28.0,167.0,52.0,Ethiopia,ETH,2016 Summer,2016,Rio de Janeiro,Athletics,"3,000 metres Steeplechase",
Tigist Assefa,F,19.0,168.0,53.0,Ethiopia,ETH,2016 Summer,2016,Rio de Janeiro,Athletics,800 metres,
John David Atkinson,M,20.0,184.0,71.0,Australia,AUS,1984 Summer,1984,Los Angeles,Athletics,High Jump,
"Stephen John ""Steve"" Austin",M,29.0,174.0,65.0,Australia,AUS,1980 Summer,1980,Moskva,Athletics,"5,000 metres",
"Stephen John ""Steve"" Austin",M,29.0,174.0,65.0,Australia,AUS,1980 Summer,1980,Moskva,Athletics,"10,000 metres",
Hiwot Ayalew Yeder,F,22.0,173.0,53.0,Ethiopia,ETH,2012 Summer,2012,London,Athletics,"3,000 metres Steeplechase",
Hiwot Ayalew Yeder,F,26.0,173.0,53.0,Ethiopia,ETH,2016 Summer,2016,Rio de Janeiro,Athletics,"3,000 metres Steeplechase",
Almaz Ayana Eba,F,24.0,166.0,47.0,Ethiopia,ETH,2016 Summer,2016,Rio de Janeiro,Athletics,"5,000 metres",Bronze
Almaz Ayana Eba,F,24.0,166.0,47.0,Ethiopia,ETH,2016 Summer,2016,Rio de Janeiro,Athletics,"10,000 metres",Gold
Gerald Ian d'Acres Backhouse,M,23.0,165.0,57.0,Australia,AUS,1936 Summer,1936,Berlin,Athletics,800 metres,
Gerald Ian d'Acres Backhouse,M,23.0,165.0,57.0,Australia,AUS,1936 Summer,1936,Berlin,Athletics,"1,500 metres",
Joel Baden,M,20.0,190.0,70.0,Australia,AUS,2016 Summer,2016,Rio de Janeiro,Athletics,High Jump,
John R. Baguley,M,20.0,188.0,77.0,Australia,AUS,1960 Summer,1960,Roma,Athletics,Long Jump,
John R. Baguley,M,20.0,188.0,77.0,Australia,AUS,1960 Summer,1960,Roma,Athletics,Triple Jump,
Andrew James Baildon,M,17.0,186.0,78.0,Australia,AUS,1988 Summer,1988,Seoul,Swimming,50 metres Freestyle,
Andrew James Baildon,M,17.0,186.0,78.0,Australia,AUS,1988 Summer,1988,Seoul,Swimming,100 metres Freestyle,
Andrew James Baildon,M,17.0,186.0,78.0,Australia,AUS,1988 Summer,1988,Seoul,Swimming,4 x 100 metres Medley Relay,
Andrew James Baildon,M,20.0,186.0,78.0,Australia,AUS,1992 Summer,1992,Barcelona,Swimming,100 metres Freestyle,
Andrew James Baildon,M,20.0,186.0,78.0,Australia,AUS,1992 Summer,1992,Barcelona,Swimming,4 x 100 metres Freestyle Relay,
Andrew James Baildon,M,20.0,186.0,78.0,Australia,AUS,1992 Summer,1992,Barcelona,Swimming,100 metres Butterfly,
"James John ""Jim"" Bailey",M,27.0,178.0,69.0,Australia,AUS,1956 Summer,1956,Melbourne,Athletics,800 metres,
Angie Lee Bainbridge,F,18.0,181.0,67.0,Australia,AUS,2008 Summer,2008,Beijing,Swimming,4 x 200 metres Freestyle Relay,Gold
Angie Lee Bainbridge,F,22.0,181.0,67.0,Australia,AUS,2012 Summer,2012,London,Swimming,4 x 200 metres Freestyle Relay,Silver
"Donald George ""Don"" Baird",M,25.0,176.0,69.0,Australia,AUS,1976 Summer,1976,Montreal,Athletics,Pole Vault,
"Malcolm David ""Mal"" Baird",M,24.0,185.0,74.0,Australia,AUS,1972 Summer,1972,Munich,Athletics,110 metres Hurdles,
Bevyn H. Baker,M,23.0,175.0,70.0,Australia,AUS,1960 Summer,1960,Roma,Athletics,Long Jump,
Simon Francis Baker,M,26.0,186.0,70.0,Australia,AUS,1984 Summer,1984,Los Angeles,Athletics,20 kilometres Walk,
Simon Francis Baker,M,30.0,186.0,70.0,Australia,AUS,1988 Summer,1988,Seoul,Athletics,20 kilometres Walk,
Simon Francis Baker,M,30.0,186.0,70.0,Australia,AUS,1988 Summer,1988,Seoul,Athletics,50 kilometres Walk,
Simon Francis Baker,M,34.0,186.0,70.0,Australia,AUS,1992 Summer,1992,Barcelona,Athletics,50 kilometres Walk,
Simon Francis Baker,M,38.0,186.0,70.0,Australia,AUS,1996 Summer,1996,Atlanta,Athletics,50 kilometres Walk,
Kassa Balcha,M,24.0,182.0,66.0,Ethiopia,ETH,1980 Summer,1980,Moskva,Athletics,"1,500 metres",
Kebede Balcha,M,28.0,166.0,49.0,Ethiopia,ETH,1980 Summer,1980,Moskva,Athletics,Marathon,
Robert John Ballard,M,23.0,187.0,77.0,Australia,AUS,1988 Summer,1988,Seoul,Athletics,4 x 400 metres Relay,
"Vesmonis ""Ves"" Balodis",M,23.0,163.0,48.0,Australia,AUS,1956 Summer,1956,Melbourne,Athletics,Discus Throw,
Jarrod Bannister,M,23.0,190.0,100.0,Australia,AUS,2008 Summer,2008,Beijing,Athletics,Javelin Throw,
Jarrod Bannister,M,27.0,190.0,100.0,Australia,AUS,2012 Summer,2012,London,Athletics,Javelin Throw,
Jo-Anne Barnes,F,13.0,161.0,54.0,Australia,AUS,1968 Summer,1968,Mexico City,Swimming,100 metres Breaststroke,
Jo-Anne Barnes,F,13.0,161.0,54.0,Australia,AUS,1968 Summer,1968,Mexico City,Swimming,200 metres Breaststroke,
Bronte Amelia Arnold Barratt,F,19.0,171.0,59.0,Australia,AUS,2008 Summer,2008,Beijing,Swimming,200 metres Freestyle,
Bronte Amelia Arnold Barratt,F,19.0,171.0,59.0,Australia,AUS,2008 Summer,2008,Beijing,Swimming,400 metres Freestyle,
Bronte Amelia Arnold Barratt,F,19.0,171.0,59.0,Australia,AUS,2008 Summer,2008,Beijing,Swimming,4 x 200 metres Freestyle Relay,Gold
Bronte Amelia Arnold Barratt,F,23.0,171.0,59.0,Australia,AUS,2012 Summer,2012,London,Swimming,200 metres Freestyle,Bronze
Bronte Amelia Arnold Barratt,F,23.0,171.0,59.0,Australia,AUS,2012 Summer,2012,London,Swimming,400 metres Freestyle,
Bronte Amelia Arnold Barratt,F,23.0,171.0,59.0,Australia,AUS,2012 Summer,2012,London,Swimming,4 x 200 metres Freestyle Relay,Silver
Bronte Amelia Arnold Barratt,F,27.0,171.0,59.0,Australia,AUS,2016 Summer,2016,Rio de Janeiro,Swimming,200 metres Freestyle,
Bronte Amelia Arnold Barratt,F,27.0,171.0,59.0,Australia,AUS,2016 Summer,2016,Rio de Janeiro,Swimming,4 x 200 metres Freestyle Relay,Silver
Gerard Barrett,M,23.0,174.0,66.0,Australia,AUS,1980 Summer,1980,Moskva,Athletics,Marathon,
John Lavers Bartram,M,23.0,173.0,68.0,Australia,AUS,1948 Summer,1948,London,Athletics,100 metres,
John Lavers Bartram,M,23.0,173.0,68.0,Australia,AUS,1948 Summer,1948,London,Athletics,400 metres,
John Lavers Bartram,M,23.0,173.0,68.0,Australia,AUS,1948 Summer,1948,London,Athletics,4 x 100 metres Relay,
Adam Edward Basil,M,29.0,176.0,76.0,Australia,AUS,2004 Summer,2004,Athina,Athletics,4 x 100 metres Relay,
Daniel Batman,M,19.0,171.0,71.0,Australia,AUS,2000 Summer,2000,Sydney,Athletics,400 metres,
"Suzanne Carol ""Susie"" Baumer (-Ford)",F,18.0,168.0,60.0,Australia,AUS,1984 Summer,1984,Los Angeles,Swimming,400 metres Freestyle,
"Suzanne Carol ""Susie"" Baumer (-Ford)",F,18.0,168.0,60.0,Australia,AUS,1984 Summer,1984,Los Angeles,Swimming,800 metres Freestyle,
"Suzanne Carol ""Susie"" Baumer (-Ford)",F,22.0,168.0,60.0,Australia,AUS,1988 Summer,1988,Seoul,Swimming,100 metres Freestyle,
"Suzanne Carol ""Susie"" Baumer (-Ford)",F,22.0,168.0,60.0,Australia,AUS,1988 Summer,1988,Seoul,Swimming,200 metres Freestyle,
Fita Bayissa,M,19.0,173.0,52.0,Ethiopia,ETH,1992 Summer,1992,Barcelona,Athletics,"5,000 metres",Bronze
Fita Bayissa,M,19.0,173.0,52.0,Ethiopia,ETH,1992 Summer,1992,Barcelona,Athletics,"10,000 metres",
Fita Bayissa,M,23.0,173.0,52.0,Ethiopia,ETH,1996 Summer,1996,Atlanta,Athletics,"5,000 metres",
Fita Bayissa,M,27.0,173.0,52.0,Ethiopia,ETH,2000 Summer,2000,Sydney,Athletics,"5,000 metres",
"Francis Joseph Edmund ""Frank"" De Beaurepaire",M,28.0,170.0,65.0,Australia,AUS,1920 Summer,1920,Antwerpen,Swimming,400 metres Freestyle,
"Francis Joseph Edmund ""Frank"" De Beaurepaire",M,28.0,170.0,65.0,Australia,AUS,1920 Summer,1920,Antwerpen,Swimming,"1,500 metres Freestyle",Bronze
"Francis Joseph Edmund ""Frank"" De Beaurepaire",M,28.0,170.0,65.0,Australia,AUS,1920 Summer,1920,Antwerpen,Swimming,4 x 200 metres Freestyle Relay,Silver
"Francis Joseph Edmund ""Frank"" De Beaurepaire",M,32.0,170.0,65.0,Australia,AUS,1924 Summer,1924,Paris,Swimming,400 metres Freestyle,
"Francis Joseph Edmund ""Frank"" De Beaurepaire",M,32.0,170.0,65.0,Australia,AUS,1924 Summer,1924,Paris,Swimming,"1,500 metres Freestyle",Bronze
"Francis Joseph Edmund ""Frank"" De Beaurepaire",M,32.0,170.0,65.0,Australia,AUS,1924 Summer,1924,Paris,Swimming,4 x 200 metres Freestyle Relay,Silver
"Joshua ""Josh"" Beaver",M,23.0,175.0,70.0,Australia,AUS,2016 Summer,2016,Rio de Janeiro,Swimming,100 metres Backstroke,
"Joshua ""Josh"" Beaver",M,23.0,175.0,70.0,Australia,AUS,2016 Summer,2016,Rio de Janeiro,Swimming,200 metres Backstroke,
"Matthew ""Matt"" Beckenham",M,24.0,182.0,72.0,Australia,AUS,2000 Summer,2000,Sydney,Athletics,400 metres Hurdles,
Amber Gerganiya Beckitt (-Shelley),F,15.0,162.0,59.0,Australia,AUS,1956 Summer,1956,Melbourne,Swimming,100 metres Backstroke,
Amber Gerganiya Beckitt (-Shelley),F,19.0,162.0,59.0,Australia,AUS,1960 Summer,1960,Roma,Swimming,100 metres Backstroke,
Amber Gerganiya Beckitt (-Shelley),F,19.0,162.0,59.0,Australia,AUS,1960 Summer,1960,Roma,Swimming,4 x 100 metres Medley Relay,Silver
Lengissa Bedane,M,22.0,175.0,55.0,Ethiopia,ETH,1972 Summer,1972,Munich,Athletics,Marathon,
Kebede Bedasso,M,23.0,167.0,62.0,Ethiopia,ETH,1972 Summer,1972,Munich,Athletics,4 x 100 metres Relay,
Kenenisa Bekele Beyecha,M,22.0,165.0,56.0,Ethiopia,ETH,2004 Summer,2004,Athina,Athletics,"5,000 metres",Silver
Kenenisa Bekele Beyecha,M,22.0,165.0,56.0,Ethiopia,ETH,2004 Summer,2004,Athina,Athletics,"10,000 metres",Gold
Kenenisa Bekele Beyecha,M,26.0,165.0,56.0,Ethiopia,ETH,2008 Summer,2008,Beijing,Athletics,"5,000 metres",Gold
Kenenisa Bekele Beyecha,M,26.0,165.0,56.0,Ethiopia,ETH,2008 Summer,2008,Beijing,Athletics,"10,000 metres",Gold
Kenenisa Bekele Beyecha,M,30.0,165.0,56.0,Ethiopia,ETH,2012 Summer,2012,London,Athletics,"10,000 metres",
Mekdes Bekele Tadesse,F,21.0,180.0,58.0,Ethiopia,ETH,2008 Summer,2008,Beijing,Athletics,"3,000 metres Steeplechase",
Nigusse Bekele,M,20.0,185.0,55.0,Ethiopia,ETH,1980 Summer,1980,Moskva,Athletics,800 metres,
Nigusse Bekele,M,20.0,185.0,55.0,Ethiopia,ETH,1980 Summer,1980,Moskva,Athletics,"1,500 metres",
Tariku Bekele Beyecha,M,21.0,173.0,65.0,Ethiopia,ETH,2008 Summer,2008,Beijing,Athletics,"5,000 metres",
Tariku Bekele Beyecha,M,25.0,173.0,65.0,Ethiopia,ETH,2012 Summer,2012,London,Athletics,"10,000 metres",Bronze
Solomon Belaye,M,25.0,173.0,64.0,Ethiopia,ETH,1972 Summer,1972,Munich,Athletics,200 metres,
Solomon Belaye,M,25.0,173.0,64.0,Ethiopia,ETH,1972 Summer,1972,Munich,Athletics,4 x 100 metres Relay,
Yehualeye Beletew,F,18.0,165.0,52.0,Ethiopia,ETH,2016 Summer,2016,Rio de Janeiro,Athletics,20 kilometres Walk,
"Lynette ""Lyn"" Bell (-Chipchase)",F,17.0,167.0,57.0,Australia,AUS,1964 Summer,1964,Tokyo,Swimming,100 metres Freestyle,
"Lynette ""Lyn"" Bell (-Chipchase)",F,17.0,167.0,57.0,Australia,AUS,1964 Summer,1964,Tokyo,Swimming,4 x 100 metres Freestyle Relay,Silver
"Lynette ""Lyn"" Bell (-Chipchase)",F,21.0,167.0,57.0,Australia,AUS,1968 Summer,1968,Mexico City,Swimming,100 metres Freestyle,
"Lynette ""Lyn"" Bell (-Chipchase)",F,21.0,167.0,57.0,Australia,AUS,1968 Summer,1968,Mexico City,Swimming,200 metres Freestyle,
"Lynette ""Lyn"" Bell (-Chipchase)",F,21.0,167.0,57.0,Australia,AUS,1968 Summer,1968,Mexico City,Swimming,4 x 100 metres Freestyle Relay,
"Lynette ""Lyn"" Bell (-Chipchase)",F,21.0,167.0,57.0,Australia,AUS,1968 Summer,1968,Mexico City,Swimming,4 x 100 metres Medley Relay,Silver
Joyce Elaine Bennett (-Sala Tenna),F,19.0,168.0,63.0,Australia,AUS,1964 Summer,1964,Tokyo,Athletics,200 metres,
Joyce Elaine Bennett (-Sala Tenna),F,19.0,168.0,63.0,Australia,AUS,1964 Summer,1964,Tokyo,Athletics,4 x 100 metres Relay,
Joyce Elaine Bennett (-Sala Tenna),F,23.0,168.0,63.0,Australia,AUS,1968 Summer,1968,Mexico City,Athletics,400 metres,
Joyce Elaine Bennett (-Sala Tenna),F,23.0,168.0,63.0,Australia,AUS,1968 Summer,1968,Mexico City,Athletics,4 x 100 metres Relay,
"Anthony Charles ""Tony"" Benson",M,30.0,183.0,65.0,Australia,AUS,1972 Summer,1972,Munich,Athletics,"5,000 metres",
Ketema Benti,M,27.0,179.0,68.0,Ethiopia,ETH,1972 Summer,1972,Munich,Athletics,4 x 400 metres Relay,
Dejene Berhanu,M,23.0,181.0,61.0,Ethiopia,ETH,2004 Summer,2004,Athina,Athletics,"5,000 metres",
Lemi Berhanu Hayle,M,21.0,168.0,53.0,Ethiopia,ETH,2016 Summer,2016,Rio de Janeiro,Athletics,Marathon,
Glenn Stuart Beringen,M,19.0,185.0,72.0,Australia,AUS,1984 Summer,1984,Los Angeles,Swimming,200 metres Breaststroke,Silver
Glenn Stuart Beringen,M,19.0,185.0,72.0,Australia,AUS,1984 Summer,1984,Los Angeles,Swimming,200 metres Individual Medley,
Kevin John Berry,M,15.0,172.0,71.0,Australia,AUS,1960 Summer,1960,Roma,Swimming,200 metres Butterfly,
Kevin John Berry,M,15.0,172.0,71.0,Australia,AUS,1960 Summer,1960,Roma,Swimming,4 x 100 metres Medley Relay,Silver
Kevin John Berry,M,19.0,172.0,71.0,Australia,AUS,1964 Summer,1964,Tokyo,Swimming,200 metres Butterfly,Gold
Kevin John Berry,M,19.0,172.0,71.0,Australia,AUS,1964 Summer,1964,Tokyo,Swimming,4 x 100 metres Medley Relay,Bronze
Chala Beyo Techo,M,20.0,176.0,58.0,Ethiopia,ETH,2016 Summer,2016,Rio de Janeiro,Athletics,"3,000 metres Steeplechase",
Atre Bezabeh,M,26.0,185.0,64.0,Ethiopia,ETH,1980 Summer,1980,Moskva,Athletics,800 metres,
Atre Bezabeh,M,26.0,185.0,64.0,Ethiopia,ETH,1980 Summer,1980,Moskva,Athletics,4 x 400 metres Relay,
Sisay Bezabeh,M,23.0,171.0,55.0,Australia,AUS,2000 Summer,2000,Sydney,Athletics,"10,000 metres",
Sisay Bezabeh,M,26.0,171.0,55.0,Australia,AUS,2004 Summer,2004,Athina,Athletics,Marathon,
Tegegne Bezabeh,M,23.0,183.0,65.0,Ethiopia,ETH,1964 Summer,1964,Tokyo,Athletics,200 metres,
Tegegne Bezabeh,M,23.0,183.0,65.0,Ethiopia,ETH,1964 Summer,1964,Tokyo,Athletics,400 metres,
Tegegne Bezabeh,M,27.0,183.0,65.0,Ethiopia,ETH,1968 Summer,1968,Mexico City,Athletics,400 metres,
Tegegne Bezabeh,M,30.0,183.0,65.0,Ethiopia,ETH,1972 Summer,1972,Munich,Athletics,400 metres,
Tegegne Bezabeh,M,30.0,183.0,65.0,Ethiopia,ETH,1972 Summer,1972,Munich,Athletics,4 x 400 metres Relay,
Eric James Bigby,M,24.0,185.0,80.0,Australia,AUS,1964 Summer,1964,Tokyo,Athletics,4 x 100 metres Relay,
Abebe Bikila,M,28.0,177.0,57.0,Ethiopia,ETH,1960 Summer,1960,Roma,Athletics,Marathon,Gold
Abebe Bikila,M,32.0,177.0,57.0,Ethiopia,ETH,1964 Summer,1964,Tokyo,Athletics,Marathon,Gold
Abebe Bikila,M,36.0,177.0,57.0,Ethiopia,ETH,1968 Summer,1968,Mexico City,Athletics,Marathon,
Worku Bikila,M,24.0,175.0,59.0,Ethiopia,ETH,1992 Summer,1992,Barcelona,Athletics,"5,000 metres",
