Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,City,Sport,Event,Medal
James Brendan Bennet Connolly,M,27.0,175.0,72.0,United States,USA,1896 Summer,1896,Athina,Athletics,High Jump,Silver
Mark Robert Conover,M,28.0,178.0,60.0,United States,USA,1988 Summer,1988,Seoul,Athletics,Marathon,
Hollis Conway,M,21.0,183.0,68.0,United States,USA,1988 Summer,1988,Seoul,Athletics,High Jump,Silver
Hollis Conway,M,25.0,183.0,68.0,United States,USA,1992 Summer,1992,Barcelona,Athletics,High Jump,Bronze
Mark J. Coogan,M,30.0,178.0,62.0,United States,USA,1996 Summer,1996,Atlanta,Athletics,Marathon,
"Theodore ""Ted"" Corbitt",M,32.0,175.0,62.0,United States,USA,1952 Summer,1952,Helsinki,Athletics,Marathon,
"Nicholas ""Nick"" Costes",M,30.0,167.0,55.0,United States,USA,1956 Summer,1956,Melbourne,Athletics,Marathon,
John Ira Courtney,M,23.0,180.0,72.0,United States,USA,1912 Summer,1912,Stockholm,Athletics,100 meters,
Ralph Cook Craig,M,22.0,182.0,73.0,United States,USA,1912 Summer,1912,Stockholm,Athletics,100 meters,Gold
Shawn Crawford,M,26.0,181.0,86.0,United States,USA,2004 Summer,2004,Athina,Athletics,100 meters,
Alan Lawrence Culpepper,M,31.0,186.0,59.0,United States,USA,2004 Summer,2004,Athina,Athletics,Marathon,
"Thomas Pelham ""Tom"" Curtis",M,23.0,176.0,66.0,United States,USA,1896 Summer,1896,Athina,Athletics,100 meters,
"Walter Francis ""Buddy"" Davis",M,21.0,203.0,90.0,United States,USA,1952 Summer,1952,Helsinki,Athletics,High Jump,Gold
"Harry Ronald ""Ron"" Daws",M,31.0,183.0,66.0,United States,USA,1968 Summer,1968,Mexico City,Athletics,Marathon,
"Rodney ""Rod"" DeHaven",M,33.0,172.0,58.0,United States,USA,2000 Summer,2000,Sydney,Athletics,Marathon,
Clarence Harrison DeMar,M,23.0,171.0,63.0,United States,USA,1912 Summer,1912,Stockholm,Athletics,Marathon,
Clarence Harrison DeMar,M,35.0,171.0,63.0,United States,USA,1924 Summer,1924,Paris,Athletics,Marathon,Bronze
Clarence Harrison DeMar,M,39.0,171.0,63.0,United States,USA,1928 Summer,1928,Amsterdam,Athletics,Marathon,
William Harrison Dillard,M,25.0,178.0,69.0,United States,USA,1948 Summer,1948,London,Athletics,100 meters,Gold
Walter Dix,M,22.0,175.0,80.0,United States,USA,2008 Summer,2008,Beijing,Athletics,100 meters,Bronze
Howard Porter Drew,M,21.0,172.0,65.0,United States,USA,1912 Summer,1912,Stockholm,Athletics,100 meters,
"Jonathan A. ""Jon"" Drummond",M,27.0,175.0,75.0,United States,USA,1996 Summer,1996,Atlanta,Athletics,100 meters,
"Jonathan A. ""Jon"" Drummond",M,32.0,175.0,75.0,United States,USA,2000 Summer,2000,Sydney,Athletics,100 meters,
Arthur Francis Duffey,M,20.0,170.0,62.0,United States,USA,1900 Summer,1900,Paris,Athletics,100 meters,
"Charles Everett ""Charlie"" Dumas",M,19.0,185.0,81.0,United States,USA,1956 Summer,1956,Melbourne,Athletics,High Jump,Gold
"Charles Everett ""Charlie"" Dumas",M,23.0,185.0,81.0,United States,USA,1960 Summer,1960,Roma,Athletics,High Jump,
"Christopher Williams ""Chris"" Dunn",M,21.0,196.0,86.0,United States,USA,1972 Summer,1972,Munich,Athletics,High Jump,
"Victor J. ""Vic"" Dyrgall",M,34.0,172.0,63.0,United States,USA,1952 Summer,1952,Helsinki,Athletics,Marathon,
"Thomas Dwight ""Dike"" Eddleman",M,25.0,190.0,84.0,United States,USA,1948 Summer,1948,London,Athletics,High Jump,
"Leonard Graves ""Buddy"" Edelen",M,27.0,178.0,64.0,United States,USA,1964 Summer,1964,Tokyo,Athletics,Marathon,
Harold Bradford Enright,M,22.0,178.0,68.0,United States,USA,1912 Summer,1912,Stockholm,Athletics,High Jump,
Egon R. Erickson,M,23.0,180.0,72.0,United States,USA,1912 Summer,1912,Stockholm,Athletics,High Jump,
Joseph John Erxleben,M,22.0,170.0,61.0,United States,USA,1912 Summer,1912,Stockholm,Athletics,Marathon,
Kenny Evans,M,21.0,188.0,74.0,United States,USA,2000 Summer,2000,Sydney,Athletics,High Jump,
"Henry Norwood ""Barney"" Ewell",M,30.0,180.0,71.0,United States,USA,1948 Summer,1948,London,Athletics,100 meters,Silver
"Edward Dale ""Ed"" Eyestone",M,27.0,185.0,61.0,United States,USA,1988 Summer,1988,Seoul,Athletics,Marathon,
"Edward Dale ""Ed"" Eyestone",M,31.0,185.0,61.0,United States,USA,1992 Summer,1992,Barcelona,Athletics,Marathon,
"Joseph Patrick ""Joe"" Faust",M,17.0,183.0,84.0,United States,USA,1960 Summer,1960,Roma,Athletics,High Jump,
"Joseph ""Joe"" Forshaw, Jr.",M,24.0,184.0,74.0,United States,USA,1906 Summer,1906,Athina,Athletics,Marathon,
"Joseph ""Joe"" Forshaw, Jr.",M,26.0,184.0,74.0,United States,USA,1908 Summer,1908,London,Athletics,Marathon,Bronze
"Joseph ""Joe"" Forshaw, Jr.",M,30.0,184.0,74.0,United States,USA,1912 Summer,1912,Stockholm,Athletics,Marathon,
"Richard Douglas ""Dick"" Fosbury",M,21.0,193.0,83.0,United States,USA,1968 Summer,1968,Mexico City,Athletics,High Jump,Gold
"Robert Arthur ""Bob"" Fowler",M,23.0,170.0,57.0,United States,USA,1906 Summer,1906,Athina,Athletics,Marathon,
William Gottlieb (Wilhelm-) Frank,M,27.0,178.0,61.0,United States,USA,1906 Summer,1906,Athina,Athletics,Marathon,Bronze
"John James Gallagher, Jr.",M,22.0,168.0,57.0,United States,USA,1912 Summer,1912,Stockholm,Athletics,Marathon,
"Robert ""Bob"" Garrett",M,20.0,188.0,81.0,United States,USA,1896 Summer,1896,Athina,Athletics,High Jump,Silver
Justin Alexander Gatlin,M,22.0,186.0,80.0,United States,USA,2004 Summer,2004,Athina,Athletics,100 meters,Gold
Justin Alexander Gatlin,M,30.0,186.0,80.0,United States,USA,2012 Summer,2012,London,Athletics,100 meters,Bronze
Justin Alexander Gatlin,M,34.0,186.0,80.0,United States,USA,2016 Summer,2016,Rio de Janeiro,Athletics,100 meters,Silver
Tyson Lashane Gay,M,25.0,181.0,80.0,United States,USA,2008 Summer,2008,Beijing,Athletics,100 meters,
Tyson Lashane Gay,M,29.0,181.0,80.0,United States,USA,2012 Summer,2012,London,Athletics,100 meters,
Peter Clarence Gerhardt,M,34.0,175.0,68.0,United States,USA,1912 Summer,1912,Stockholm,Athletics,100 meters,
Herbert Alfred Gidney,M,26.0,183.0,71.0,United States,USA,1908 Summer,1908,London,Athletics,High Jump,
Harvey Edward Glance,M,19.0,173.0,67.0,United States,USA,1976 Summer,1976,Montreal,Athletics,100 meters,
Milton Goode,M,24.0,183.0,73.0,United States,USA,1984 Summer,1984,Los Angeles,Athletics,High Jump,
"Samuel Louis ""Sam"" Graddy, III",M,20.0,178.0,70.0,United States,USA,1984 Summer,1984,Los Angeles,Athletics,100 meters,Silver
"Charles Edward ""Charlie"" Greene",M,23.0,173.0,69.0,United States,USA,1968 Summer,1968,Mexico City,Athletics,100 meters,Bronze
Maurice Greene,M,26.0,176.0,80.0,United States,USA,2000 Summer,2000,Sydney,Athletics,100 meters,Gold
Maurice Greene,M,30.0,176.0,80.0,United States,USA,2004 Summer,2004,Athina,Athletics,100 meters,Bronze
"Henry John ""Harry"" Grumpelt",M,27.0,178.0,64.0,United States,USA,1912 Summer,1912,Stockholm,Athletics,High Jump,
"Charles Archibald ""Archie"" Hahn",M,23.0,167.0,64.0,United States,USA,1904 Summer,1904,St. Louis,Athletics,100 meters,Gold
"Charles Archibald ""Archie"" Hahn",M,25.0,167.0,64.0,United States,USA,1906 Summer,1906,Athina,Athletics,100 meters,Gold
Ryan Hall,M,25.0,180.0,61.0,United States,USA,2008 Summer,2008,Beijing,Athletics,Marathon,
Ryan Hall,M,29.0,180.0,61.0,United States,USA,2012 Summer,2012,London,Athletics,Marathon,
"William Franklin ""Frank"" Hamilton",M,24.0,176.0,70.0,United States,USA,1908 Summer,1908,London,Athletics,100 meters,
Tora L. Harris,M,25.0,190.0,81.0,United States,USA,2004 Summer,2004,Athina,Athletics,High Jump,
"Edward James ""Eddie"" Hart",M,23.0,178.0,69.0,United States,USA,1972 Summer,1972,Munich,Athletics,100 meters,
Sidney Herbert Hatch,M,20.0,168.0,57.0,United States,USA,1904 Summer,1904,St. Louis,Athletics,Marathon,
Sidney Herbert Hatch,M,24.0,168.0,57.0,United States,USA,1908 Summer,1908,London,Athletics,Marathon,
"Robert Lee ""Bob"" Hayes",M,21.0,183.0,86.0,United States,USA,1964 Summer,1964,Tokyo,Athletics,100 meters,Gold
"John Joseph ""Johnny"" Hayes",M,22.0,162.0,55.0,United States,USA,1908 Summer,1908,London,Athletics,Marathon,Gold
"Benjamin Van Doren ""Ben"" Hedges, Jr.",M,20.0,185.0,66.0,United States,USA,1928 Summer,1928,Amsterdam,Athletics,High Jump,Silver
"Harold William ""Hal"" Heiland",M,22.0,180.0,70.0,United States,USA,1912 Summer,1912,Stockholm,Athletics,100 meters,
"Matthew E. ""Matt"" Hemingway",M,31.0,200.0,84.0,United States,USA,2004 Summer,2004,Athina,Athletics,High Jump,Silver
"James P. ""Jimmy"" Henigan",M,36.0,168.0,54.0,United States,USA,1928 Summer,1928,Amsterdam,Athletics,Marathon,
"James P. ""Jimmy"" Henigan",M,40.0,168.0,54.0,United States,USA,1932 Summer,1932,Los Angeles,Athletics,Marathon,
"Thomas John ""Tom"" Hicks",M,28.0,168.0,60.0,United States,USA,1904 Summer,1904,St. Louis,Athletics,Marathon,Gold
"James Ray ""Jim"" Hines",M,22.0,183.0,81.0,United States,USA,1968 Summer,1968,Mexico City,Athletics,100 meters,Gold
George Leslie Horine,M,22.0,180.0,73.0,United States,USA,1912 Summer,1912,Stockholm,Athletics,High Jump,Bronze
"James Allen ""Jim"" Howard, Jr.",M,29.0,196.0,80.0,United States,USA,1988 Summer,1988,Seoul,Athletics,High Jump,
"Trenton James ""Trent"" Jackson",M,22.0,183.0,79.0,United States,USA,1964 Summer,1964,Tokyo,Athletics,100 meters,
"William John ""Bill"" Jankunis",M,21.0,188.0,75.0,United States,USA,1976 Summer,1976,Montreal,Athletics,High Jump,
Frank Washington Jarvis,M,21.0,167.0,58.0,United States,USA,1900 Summer,1900,Paris,Athletics,100 meters,Gold
"Cornelius Cooper ""Corny"" Johnson",M,18.0,191.0,79.0,United States,USA,1932 Summer,1932,Los Angeles,Athletics,High Jump,
"Cornelius Cooper ""Corny"" Johnson",M,22.0,191.0,79.0,United States,USA,1936 Summer,1936,Berlin,Athletics,High Jump,Gold
Curtis Johnson,M,26.0,184.0,81.0,United States,USA,2000 Summer,2000,Sydney,Athletics,100 meters,
John Oliver Johnstone,M,20.0,185.0,70.0,United States,USA,1912 Summer,1912,Stockholm,Athletics,High Jump,
"Dustin Michael ""Dusty"" Jonas",M,22.0,193.0,82.0,United States,USA,2008 Summer,2008,Beijing,Athletics,High Jump,
"John Wesley ""Johnny"" Jones",M,18.0,183.0,77.0,United States,USA,1976 Summer,1976,Montreal,Athletics,100 meters,
"Samuel Symington ""Sam"" Jones",M,24.0,189.0,82.0,United States,USA,1904 Summer,1904,St. Louis,Athletics,High Jump,Gold
"Thomas Martin ""Tom"" Jones",M,35.0,170.0,61.0,United States,USA,1952 Summer,1952,Helsinki,Athletics,Marathon,
"Ronald Lee ""Ron"" Jourdan",M,25.0,186.0,68.0,United States,USA,1972 Summer,1972,Munich,Athletics,High Jump,
Robert Louis Juday,M,23.0,180.0,66.0,United States,USA,1924 Summer,1924,Paris,Athletics,High Jump,
"Donald Franklin ""Don"" Kardong",M,27.0,190.0,68.0,United States,USA,1976 Summer,1976,Montreal,Athletics,Marathon,
"Mebrahtom R. ""Meb"" Keflezighi",M,29.0,166.0,56.0,United States,USA,2004 Summer,2004,Athina,Athletics,Marathon,Silver
"Mebrahtom R. ""Meb"" Keflezighi",M,37.0,166.0,56.0,United States,USA,2012 Summer,2012,London,Athletics,Marathon,
"Mebrahtom R. ""Meb"" Keflezighi",M,41.0,166.0,56.0,United States,USA,2016 Summer,2016,Rio de Janeiro,Athletics,Marathon,
"John Adelbert ""Johnny"" Kelley",M,28.0,167.0,56.0,United States,USA,1936 Summer,1936,Berlin,Athletics,Marathon,
"John Adelbert ""Johnny"" Kelley",M,40.0,167.0,56.0,United States,USA,1948 Summer,1948,London,Athletics,Marathon,
"John Joseph ""Johnny"" Kelley",M,25.0,167.0,57.0,United States,USA,1956 Summer,1956,Melbourne,Athletics,Marathon,
"John Joseph ""Johnny"" Kelley",M,29.0,167.0,57.0,United States,USA,1960 Summer,1960,Roma,Athletics,Marathon,
"Robert Ralph ""Bob"" Kempainen",M,26.0,183.0,70.0,United States,USA,1992 Summer,1992,Barcelona,Athletics,Marathon,
"Robert Ralph ""Bob"" Kempainen",M,30.0,183.0,70.0,United States,USA,1996 Summer,1996,Atlanta,Athletics,Marathon,
"Herbert William ""Bert"" Kerrigan",M,27.0,175.0,59.0,United States,USA,1906 Summer,1906,Athina,Athletics,High Jump,Bronze
"Robert Wade ""Bob"" King",M,21.0,190.0,79.0,United States,USA,1928 Summer,1928,Amsterdam,Athletics,High Jump,Gold
Morris Marshall Kirksey,M,24.0,178.0,77.0,United States,USA,1920 Summer,1920,Antwerpen,Athletics,100 meters,Silver
"Erik Kynard, Jr.",M,21.0,194.0,89.0,United States,USA,2012 Summer,2012,London,Athletics,High Jump,Silver
"Erik Kynard, Jr.",M,25.0,194.0,89.0,United States,USA,2016 Summer,2016,Rio de Janeiro,Athletics,High Jump,
"Richmond Wilcox ""Dick"" Landon",M,21.0,188.0,73.0,United States,USA,1920 Summer,1920,Antwerpen,Athletics,High Jump,Gold
"Francis Adonijah ""Frank"" Lane",M,21.0,170.0,69.0,United States,USA,1896 Summer,1896,Athina,Athletics,100 meters,Bronze
Nathan Leeper,M,23.0,188.0,82.0,United States,USA,2000 Summer,2000,Sydney,Athletics,High Jump,
"Frederick Carlton ""Carl"" Lewis",M,23.0,188.0,80.0,United States,USA,1984 Summer,1984,Los Angeles,Athletics,100 meters,Gold
"Frederick Carlton ""Carl"" Lewis",M,27.0,188.0,80.0,United States,USA,1988 Summer,1988,Seoul,Athletics,100 meters,Gold
Thomas Hugh Lilley,M,24.0,170.0,61.0,United States,USA,1912 Summer,1912,Stockholm,Athletics,Marathon,
Carl Waino Alexander (Viljo-) Linder (Heinonen-),M,30.0,175.0,66.0,United States,USA,1920 Summer,1920,Antwerpen,Athletics,Marathon,
Donald Fithian Lippincott,M,18.0,178.0,72.0,United States,USA,1912 Summer,1912,Stockholm,Athletics,100 meters,Bronze
John Charles Lordan,M,28.0,170.0,62.0,United States,USA,1904 Summer,1904,St. Louis,Athletics,Marathon,
"Frederick G. ""Fred"" Lorz",M,20.0,172.0,69.0,United States,USA,1904 Summer,1904,St. Louis,Athletics,Marathon,
"Aulis Olavi ""Ollie"" Manninen",M,31.0,172.0,68.0,United States,USA,1948 Summer,1948,London,Athletics,Marathon,
Andra Kareem Manson,M,24.0,196.0,75.0,United States,USA,2008 Summer,2008,Beijing,Athletics,High Jump,
"Michael Lawrence ""Mike"" Marsh",M,28.0,178.0,75.0,United States,USA,1996 Summer,1996,Atlanta,Athletics,100 meters,
"William Wyman ""Willie"" May",M,21.0,175.0,73.0,United States,USA,1908 Summer,1908,London,Athletics,100 meters,
"Robert Francis ""Bob"" McAllister",M,28.0,170.0,71.0,United States,USA,1928 Summer,1928,Amsterdam,Athletics,100 meters,
Peter Joseph McArdle,M,35.0,177.0,57.0,United States,USA,1964 Summer,1964,Tokyo,Athletics,Marathon,
Charles English McGinnis,M,21.0,180.0,68.0,United States,USA,1928 Summer,1928,Amsterdam,Athletics,High Jump,
"Verne Voorhees ""Vern"" McGrew, Jr.",M,18.0,190.0,72.0,United States,USA,1948 Summer,1948,London,Athletics,High Jump,
Gordon Edmund McKenzie,M,33.0,172.0,61.0,United States,USA,1960 Summer,1960,Roma,Athletics,Marathon,
"Charles Lawrence ""Chuck"" Mellor",M,26.0,175.0,66.0,United States,USA,1920 Summer,1920,Antwerpen,Athletics,Marathon,
"Charles Lawrence ""Chuck"" Mellor",M,30.0,175.0,66.0,United States,USA,1924 Summer,1924,Paris,Athletics,Marathon,
"Samuel Alexander ""Sammy"" Mellor, Jr.",M,24.0,178.0,58.0,United States,USA,1904 Summer,1904,St. Louis,Athletics,Marathon,
Ralph Harold Metcalfe,M,22.0,180.0,82.0,United States,USA,1932 Summer,1932,Los Angeles,Athletics,100 meters,Silver
Ralph Harold Metcalfe,M,26.0,180.0,82.0,United States,USA,1936 Summer,1936,Berlin,Athletics,100 meters,Silver
Alvah T. Meyer,M,23.0,173.0,65.0,United States,USA,1912 Summer,1912,Stockholm,Athletics,100 meters,Silver
"Albert Richard ""Whitey"" Michelsen",M,34.0,172.0,64.0,United States,USA,1928 Summer,1928,Amsterdam,Athletics,Marathon,
"Albert Richard ""Whitey"" Michelsen",M,38.0,172.0,64.0,United States,USA,1932 Summer,1932,Los Angeles,Athletics,Marathon,
"William Mervin ""Billy"" Mills",M,26.0,180.0,68.0,United States,USA,1964 Summer,1964,Tokyo,Athletics,Marathon,
Edmund Joseph Minahan,M,17.0,183.0,86.0,United States,USA,1900 Summer,1900,Paris,Athletics,100 meters,
Dennis Allen Mitchell,M,22.0,175.0,70.0,United States,USA,1988 Summer,1988,Seoul,Athletics,100 meters,
Dennis Allen Mitchell,M,26.0,175.0,70.0,United States,USA,1992 Summer,1992,Barcelona,Athletics,100 meters,Bronze
Dennis Allen Mitchell,M,30.0,175.0,70.0,United States,USA,1996 Summer,1996,Atlanta,Athletics,100 meters,
"Thomas Robinson ""Tom"" Moffitt",M,24.0,180.0,79.0,United States,USA,1908 Summer,1908,London,Athletics,High Jump,
"Kenneth Clark ""Kenny"" Moore",M,24.0,183.0,64.0,United States,USA,1968 Summer,1968,Mexico City,Athletics,Marathon,
"Kenneth Clark ""Kenny"" Moore",M,28.0,183.0,64.0,United States,USA,1972 Summer,1972,Munich,Athletics,Marathon,
"Thomas Patrick ""Tom"" Morrissey",M,19.0,181.0,69.0,United States,USA,1908 Summer,1908,London,Athletics,Marathon,
Bobby Joe Morrow,M,21.0,186.0,75.0,United States,USA,1956 Summer,1956,Melbourne,Athletics,100 meters,Gold
Fay R. Moulton,M,28.0,175.0,70.0,United States,USA,1904 Summer,1904,St. Louis,Athletics,100 meters,
Fay R. Moulton,M,30.0,175.0,70.0,United States,USA,1906 Summer,1906,Athina,Athletics,100 meters,Silver
Harold Powers Muller,M,18.0,185.0,86.0,United States,USA,1920 Summer,1920,Antwerpen,Athletics,High Jump,Silver
Ira James Murchison,M,23.0,165.0,65.0,United States,USA,1956 Summer,1956,Melbourne,Athletics,100 meters,
Loren Murchison,M,21.0,174.0,68.0,United States,USA,1920 Summer,1920,Antwerpen,Athletics,100 meters,
Loren Murchison,M,25.0,174.0,68.0,United States,USA,1924 Summer,1924,Paris,Athletics,100 meters,
John Leonard Murphy,M,25.0,180.0,68.0,United States,USA,1920 Summer,1920,Antwerpen,Athletics,High Jump,
Arthur Lewis Newton,M,17.0,160.0,51.0,United States,USA,1900 Summer,1900,Paris,Athletics,Marathon,
Arthur Lewis Newton,M,21.0,160.0,51.0,United States,USA,1904 Summer,1904,St. Louis,Athletics,Marathon,Bronze
John Patrick Nicholson,M,22.0,183.0,75.0,United States,USA,1912 Summer,1912,Stockholm,Athletics,High Jump,
"James Earl ""Jamie"" Nieto",M,27.0,195.0,83.0,United States,USA,2004 Summer,2004,Athina,Athletics,High Jump,
"James Earl ""Jamie"" Nieto",M,35.0,195.0,83.0,United States,USA,2012 Summer,2012,London,Athletics,High Jump,
"Douglas ""Doug"" Nordquist",M,25.0,193.0,79.0,United States,USA,1984 Summer,1984,Los Angeles,Athletics,High Jump,
Otis Ray Norton,M,22.0,188.0,81.0,United States,USA,1960 Summer,1960,Roma,Athletics,100 meters,
"Wesley Marion Oler, Jr.",M,20.0,183.0,77.0,United States,USA,1912 Summer,1912,Stockholm,Athletics,High Jump,
Joseph LeRoy Organ,M,28.0,175.0,,United States,USA,1920 Summer,1920,Antwerpen,Athletics,Marathon,
Harold Marion Osborn (Osborne-),M,25.0,181.0,73.0,United States,USA,1924 Summer,1924,Paris,Athletics,High Jump,Gold
Harold Marion Osborn (Osborne-),M,29.0,181.0,73.0,United States,USA,1928 Summer,1928,Amsterdam,Athletics,High Jump,
"James Cleveland ""Jesse"" Owens",M,22.0,178.0,71.0,United States,USA,1936 Summer,1936,Berlin,Athletics,100 meters,Gold
"Charles William ""Charley"" Paddock",M,19.0,172.0,75.0,United States,USA,1920 Summer,1920,Antwerpen,Athletics,100 meters,Gold
"Charles William ""Charley"" Paddock",M,23.0,172.0,75.0,United States,USA,1924 Summer,1924,Paris,Athletics,100 meters,
Darvis Darell Patton,M,30.0,183.0,79.0,United States,USA,2008 Summer,2008,Beijing,Athletics,100 meters,
"Melvin Emery ""Mel"" Patton",M,23.0,185.0,72.0,United States,USA,1948 Summer,1948,London,Athletics,100 meters,
"Melvin ""Mel"" Pender, Jr.",M,26.0,165.0,68.0,United States,USA,1964 Summer,1964,Tokyo,Athletics,100 meters,
"Melvin ""Mel"" Pender, Jr.",M,30.0,165.0,68.0,United States,USA,1968 Summer,1968,Mexico City,Athletics,100 meters,
"Peter Dickson ""Pete"" Pfitzinger",M,26.0,174.0,60.0,United States,USA,1984 Summer,1984,Los Angeles,Athletics,Marathon,
"Peter Dickson ""Pete"" Pfitzinger",M,31.0,174.0,60.0,United States,USA,1988 Summer,1988,Seoul,Athletics,Marathon,
Frank C. Pierce,M,,178.0,65.0,United States,USA,1904 Summer,1904,St. Louis,Athletics,Marathon,
Richard Francis Piggott,M,23.0,175.0,63.0,United States,USA,1912 Summer,1912,Stockholm,Athletics,Marathon,
Darrin M. Plab,M,21.0,190.0,79.0,United States,USA,1992 Summer,1992,Barcelona,Athletics,High Jump,
Tom Woodson Poor,M,21.0,183.0,,United States,USA,1924 Summer,1924,Paris,Athletics,High Jump,
Harry Franklin Porter,M,25.0,189.0,79.0,United States,USA,1908 Summer,1908,London,Athletics,High Jump,Gold
Meyer Prinstein,M,25.0,180.0,74.0,United States,USA,1904 Summer,1904,St. Louis,Athletics,100 meters,
Meyer Prinstein,M,27.0,180.0,74.0,United States,USA,1906 Summer,1906,Athina,Athletics,100 meters,
John Barnett Rambo,M,21.0,200.0,86.0,United States,USA,1964 Summer,1964,Tokyo,Athletics,High Jump,Bronze
Joie William Ray,M,34.0,165.0,54.0,United States,USA,1928 Summer,1928,Amsterdam,Athletics,Marathon,
"Philip Martin ""Phil"" Reavis",M,20.0,177.0,70.0,United States,USA,1956 Summer,1956,Melbourne,Athletics,High Jump,
"John Alcorn ""James"" Rector",M,23.0,181.0,72.0,United States,USA,1908 Summer,1908,London,Athletics,100 meters,Silver
